sim,type,id,nid
1,target,90,1
1,target,95,2
1,target,2,3
1,target,127,4
1,target,27,5
1,target,97,6
1,target,16,7
1,target,55,8
2,target,12,9
2,target,31,10
2,target,101,11
2,target,87,12
2,target,7,13
2,target,104,14
2,target,34,15
2,target,126,16
3,target,76,17
3,target,118,18
3,target,125,19
3,target,41,20
3,target,160,21
3,target,78,22
3,target,71,23
3,target,158,24
4,target,146,25
4,target,58,26
4,target,162,27
4,target,91,28
4,target,5,29
4,target,117,30
4,target,35,31
4,target,37,32
5,target,39,33
5,target,129,34
5,target,59,35
5,target,175,36
5,target,64,37
5,target,32,38
5,target,189,39
5,target,25,40
1,lure,159,41
1,lure,47,42
1,lure,68,43
1,lure,44,44
1,lure,141,45
1,lure,69,46
1,lure,100,47
1,lure,75,48
2,lure,179,49
2,lure,22,50
2,lure,155,51
2,lure,111,52
2,lure,20,53
2,lure,154,54
2,lure,168,55
2,lure,128,56
3,lure,103,57
3,lure,49,58
3,lure,70,59
3,lure,134,60
3,lure,53,61
3,lure,183,62
3,lure,110,63
3,lure,36,64
4,lure,187,65
4,lure,11,66
4,lure,21,67
4,lure,9,68
4,lure,171,69
4,lure,57,70
4,lure,93,71
4,lure,77,72
5,lure,185,73
5,lure,63,74
5,lure,174,75
5,lure,60,76
5,lure,147,77
5,lure,133,78
5,lure,46,79
5,lure,181,80
1,foil,96,81
1,foil,153,82
1,foil,33,83
1,foil,112,84
1,foil,61,85
1,foil,123,86
1,foil,136,87
1,foil,150,88
2,foil,6,89
2,foil,89,90
2,foil,140,91
2,foil,173,92
2,foil,145,93
2,foil,176,94
2,foil,14,95
2,foil,131,96
3,foil,163,97
3,foil,74,98
3,foil,115,99
3,foil,62,100
3,foil,1,101
3,foil,178,102
3,foil,40,103
3,foil,170,104
4,foil,166,105
4,foil,73,106
4,foil,167,107
4,foil,164,108
4,foil,79,109
4,foil,130,110
4,foil,88,111
4,foil,156,112
5,foil,121,113
5,foil,98,114
5,foil,4,115
5,foil,8,116
5,foil,180,117
5,foil,161,118
5,foil,132,119
5,foil,137,120
