参数类别,参数名称,类型,默认值,说明
刺激呈现,`csi`,`int`,200,线索刺激间隔，即`+`符号的呈现时间，单位毫秒
刺激呈现,`maxSt1`,`int`,100,最大呈现时间1，即刺激阵列1的呈现时间，单位毫秒
刺激呈现,`isi`,`int`,900,刺激间隔时间，即刺激阵列1消失和刺激阵列2呈现之间的间隔
刺激呈现,`maxSt2`,`int`,2000,最大呈现时间2，即刺激阵列2的呈现时间，单位毫秒
刺激呈现,`iti`,`int`,200,试次间隔时间，即用户操作后（或刺激阵列2达到最大显示时间后）到下一试次开始的间隔
刺激序列,`endMethod`,`int`,2,题目的结束方式（1=按时间结束，2=按刺激个数结束）
刺激序列,`duration`,`int`,30000,题目整体持续时间（`endMethod`=1时生效，单位毫秒）
刺激序列,`quantity`,`int`,200,刺激总个数（`endMethod`=2时需全部做完）
刺激序列,`round`,`int`,5,总轮数
操作反馈,`feedbackCorrectError`,`bool`,0,控制正式测评时候是（1）否（0）需要反馈正确与错误
操作反馈,`feedbackNoResponse`,`bool`,1,控制正式测评时候是（1）否（0）需要提示用户未操作
操作反馈,`feedbackSound`,`bool`,1,控制正式测评时候是（1）否（0）给出声音反馈
操作反馈,`feedbackVisual`,`bool`,1,控制正式测评时候是（1）否（0）给出视觉反馈
